website,src,email,name
http://www.uwindsor.ca,https://www.cicic.ca/873/university%20of%20windsor.canada?id=3837&sid=1573,registr@uwindsor.ca,University of Windsor
http://www.auroracollege.nt.ca/,https://www.cicic.ca/873/aurora_college.canada?id=1281,mimrie@auroracollege.nt.ca,Aurora College
http://www.canadianreformedseminary.ca/,https://www.cicic.ca/873/canadian_reformed_theological_seminary.canada?id=1584,,Canadian Reformed Theological Seminary
http://www.cegepoutaouais.qc.ca,https://www.cicic.ca/873/cegep_de_l_outaouais.canada?id=3844,bico@cegepoutaouais.qc.ca,Cégep de l'Outaouais
https://www.cegeplimoilou.ca,https://www.cicic.ca/873/cegep_de_limoilou.canada?id=3829,infolimoilou@climoilou.qc.ca,Cégep de Limoilou
http://cll.qc.ca,https://www.cicic.ca/873/cegep_de_levis_lauzon.canada?id=3809,,Cégep de Lévis-Lauzon
http://www.astheology.ns.ca,https://www.cicic.ca/873/atlantic_school_of_theology.canada?id=4032,cthomson@astheology.ns.ca,Atlantic School of Theology
http://www.cmu.ca,https://www.cicic.ca/873/canadian_mennonite_university.canada?id=3925,info@cmu.ca,Canadian Mennonite University
http://www.cegepat.qc.ca,https://www.cicic.ca/873/cegep_de_l_abitibi_temiscamingue.canada?id=3808,,Cégep de l'Abitibi-Témiscamingue
http://cegepgim.ca,https://www.cicic.ca/873/cegep_de_la_gaspesie_et_des_iles.canada?id=1507,servicesauxclienteles@cegepgim.ca,Cégep de la Gaspésie et des Îles
